lat,lon
46.585747,-112.039705
46.58572,-112.039748
46.585694,-112.039788
46.585667,-112.039825
46.585641,-112.039863
46.585614,-112.039898
46.585585,-112.039933
46.585555,-112.039967
46.585529,-112.040001
46.5855,-112.04004
46.585474,-112.040078
46.585444,-112.040109
46.585416,-112.04014
46.585386,-112.040175
46.585356,-112.040208
46.585326,-112.040239
46.585298,-112.04027
46.585267,-112.040301
46.585237,-112.040329
46.585206,-112.040354
46.585177,-112.040376
46.585144,-112.040398
46.585112,-112.040416
46.585079,-112.040433
46.585047,-112.040449
46.585014,-112.040467
46.584982,-112.040485
46.584949,-112.040503
46.584917,-112.040521
46.584887,-112.040536
46.584855,-112.040553
46.584822,-112.040569
46.584791,-112.040583
46.584757,-112.040598
46.584724,-112.040613
46.584691,-112.040626
46.584659,-112.040638
46.584626,-112.040651
46.584595,-112.040665
46.584563,-112.040677
46.584535,-112.040692
46.584507,-112.040705
46.584456,-112.040728
46.584407,-112.040759
46.584382,-112.040776
46.584357,-112.040793
46.584305,-112.040823
46.584279,-112.040841
46.584254,-112.040861
46.58423,-112.040882
46.584204,-112.040903
46.584179,-112.040924
46.584155,-112.040942
46.584111,-112.040973
46.584074,-112.040999
46.584035,-112.04104
46.583995,-112.041086
46.583958,-112.041127
46.583923,-112.041168
46.583889,-112.041217
46.583849,-112.041269
46.58383,-112.041298
46.58381,-112.041334
46.583785,-112.041377
46.583762,-112.041419
46.583741,-112.04146
46.58372,-112.041506
46.583701,-112.041551
46.583682,-112.041597
46.583665,-112.041642
46.583647,-112.04169
46.583629,-112.041739
46.583609,-112.041795
46.583592,-112.041852
46.583573,-112.041912
46.583554,-112.041973
46.583532,-112.042057
46.583518,-112.042126
46.583502,-112.042201
46.583488,-112.042276
46.583471,-112.042357
46.583444,-112.042436
46.583415,-112.042521
46.583387,-112.042606
46.583361,-112.042681
46.583331,-112.042751
46.583313,-112.042833
46.583291,-112.042911
46.583266,-112.042991
46.583238,-112.043062
46.583212,-112.04312
46.583191,-112.043173
46.583165,-112.04322
46.583108,-112.043248
46.583074,-112.043261
46.583037,-112.043296
46.583008,-112.043346
46.582991,-112.043393
46.582963,-112.043457
46.582944,-112.04349
46.58292,-112.043513
46.582876,-112.043551
46.582843,-112.043596
46.582835,-112.043664
46.582827,-112.043734
46.582791,-112.043776
46.582752,-112.043811
46.582714,-112.043849
46.582675,-112.043881
46.582636,-112.043919
46.582613,-112.043951
46.582592,-112.043983
46.58257,-112.044011
46.582537,-112.044045
46.582509,-112.044083
46.582487,-112.04411
46.582476,-112.044069
46.582494,-112.044004
46.582504,-112.043963
46.582513,-112.043922
46.582533,-112.043854
46.582548,-112.04382
46.582563,-112.043784
46.582579,-112.043745
46.582599,-112.043681
46.582611,-112.043618
46.582614,-112.043558
46.582615,-112.043505
46.582621,-112.04345
46.58263,-112.043395
46.582651,-112.04334
46.582679,-112.043282
46.582706,-112.043219
46.582733,-112.043155
46.582755,-112.043091
46.582772,-112.043033
46.582784,-112.042968
46.582798,-112.042908
46.582814,-112.04285
46.582826,-112.042795
46.582837,-112.042738
46.582851,-112.042683
46.582865,-112.042631
46.582877,-112.042583
46.582886,-112.042532
46.582897,-112.042485
46.582897,-112.04243
46.58289,-112.042377
46.582877,-112.042326
46.582869,-112.042275
46.582867,-112.042221
46.582848,-112.042192
46.582835,-112.04224
46.582833,-112.042281
46.582832,-112.042321
46.582821,-112.042394
46.582804,-112.042469
46.582781,-112.042538
46.582753,-112.042607
46.582745,-112.042646
46.58274,-112.042685
46.58273,-112.042759
46.582707,-112.042826
46.582677,-112.042891
46.58266,-112.042923
46.582642,-112.042954
46.582609,-112.043012
46.582583,-112.043041
46.582574,-112.042981
46.582591,-112.042923
46.582612,-112.042862
46.582623,-112.042803
46.582622,-112.042746
46.58262,-112.042705
46.582613,-112.042667
46.582607,-112.042608
46.582606,-112.042565
46.582603,-112.04252
46.582605,-112.042472
46.582602,-112.042428
46.582571,-112.042439
46.582569,-112.04249
46.58255,-112.042536
46.58252,-112.042512
46.582508,-112.042463
46.582505,-112.042414
46.582509,-112.04236
46.582512,-112.042305
46.582515,-112.042249
46.582509,-112.042189
46.582494,-112.042135
46.582475,-112.042084
46.58246,-112.042039
46.582447,-112.041996
46.582432,-112.041954
46.582409,-112.041917
46.582386,-112.04188
46.582366,-112.041835
46.582342,-112.041798
46.582313,-112.041765
46.582285,-112.041727
46.582256,-112.04169
46.582235,-112.041641
46.58221,-112.041592
46.582183,-112.041545
46.582159,-112.041492
46.58213,-112.041443
46.582101,-112.0414
46.582075,-112.041359
46.58205,-112.04132
46.582025,-112.04128
46.581998,-112.041233
46.581972,-112.041184
46.581955,-112.041133
46.581934,-112.041096
46.581911,-112.041063
46.581888,-112.041031
46.581864,-112.040996
46.581843,-112.040957
46.581822,-112.040915
46.581808,-112.040877
46.581789,-112.040835
46.581762,-112.040807
46.581734,-112.040776
46.58171,-112.040743
46.581689,-112.040713
46.581667,-112.040675
46.581636,-112.040641
46.581605,-112.040592
46.58158,-112.040526
46.581562,-112.040391
46.58155,-112.040302
46.581537,-112.040201
46.581507,-112.040106
46.581461,-112.039997
46.581414,-112.039878
46.581368,-112.039777
46.581315,-112.039675
46.581261,-112.039565
46.581208,-112.03945
46.581157,-112.03932
46.581105,-112.039203
46.581058,-112.039078
